start_time,start_station_id,end_station_id
00:00:26,390.0,385.0
00:00:55,236.0,161.0
00:00:56,244.0,115.0
00:01:03,95.0,345.0
00:01:12,295.0,199.0
00:01:13,88.0,117.0
00:01:18,457.0,306.0
00:01:49,692.0,677.0
00:02:16,204.0,263.0
00:02:16,56.0,163.0
00:02:28,52.0,475.0
00:02:29,303.0,460.0
00:02:45,402.0,125.0
00:02:58,273.0,42.0
00:03:05,590.0,488.0
00:03:18,275.0,119.0
00:03:22,313.0,142.0
00:03:36,287.0,177.0
00:03:45,40.0,277.0
00:03:48,700.0,700.0
00:04:05,440.0,659.0
00:04:13,326.0,130.0
00:04:14,594.0,186.0
00:04:26,280.0,331.0
00:04:46,138.0,22.0
00:04:46,375.0,369.0
00:04:48,622.0,208.0
00:05:03,696.0,428.0
00:05:22,636.0,25.0
00:05:23,505.0,316.0
00:05:31,46.0,672.0
00:05:35,86.0,500.0
00:05:44,204.0,168.0
00:06:22,525.0,605.0
00:06:32,398.0,580.0
00:06:39,439.0,210.0
00:07:10,342.0,22.0
00:07:12,273.0,264.0
00:07:13,91.0,284.0
00:07:27,694.0,693.0
00:07:51,125.0,638.0
00:08:03,433.0,433.0
00:08:14,511.0,182.0
00:08:21,50.0,37.0
00:08:26,113.0,213.0
00:08:37,182.0,502.0
00:08:43,147.0,149.0
00:08:50,74.0,69.0
00:09:26,695.0,173.0
00:09:42,7.0,33.0
00:09:42,267.0,120.0
00:10:07,170.0,46.0
00:10:21,58.0,110.0
00:10:30,241.0,346.0
00:10:37,570.0,568.0
00:10:40,21.0,45.0
00:10:49,233.0,43.0
00:10:49,508.0,61.0
00:10:57,195.0,478.0
00:11:23,638.0,106.0
00:11:39,531.0,540.0
00:11:39,415.0,59.0
00:11:40,485.0,475.0
00:11:41,583.0,247.0
00:11:49,127.0,173.0
00:11:59,254.0,175.0
00:12:03,421.0,273.0
00:12:09,700.0,689.0
00:12:11,681.0,583.0
00:12:13,430.0,267.0
00:12:15,127.0,195.0
00:12:18,438.0,184.0
00:12:29,353.0,449.0
00:12:35,469.0,480.0
00:12:43,390.0,390.0
00:12:54,135.0,42.0
00:13:00,208.0,279.0
00:13:08,297.0,84.0
00:13:18,464.0,20.0
00:13:28,507.0,113.0
00:13:43,218.0,414.0
00:13:50,391.0,391.0
00:13:52,171.0,9.0
00:14:00,307.0,326.0
00:14:03,424.0,265.0
00:14:17,123.0,257.0
00:14:21,656.0,183.0
00:14:21,642.0,550.0
00:14:41,542.0,540.0
